Date,Alloy,Type,Grade,Supplier,Sector,Application,BuyerID,Quantity_kg,UnitPrice_INR,BaseCost_INR,Margin_INR_per_kg,TotalMargin,Region,Month,WeekNum,IsHoliday,IndustryCycle
2019-01-01,Zirconium,Zr702,"ASTM B551","MetalCore Ltd.",Automotive,Nuclear,CUST7304,552.21,2190.4,813.92,1376.4799194335938,760106.0065553449,"India North",Jan-19,1,0,"Peak"
2019-01-02,Zirconium,Zr702,"ASTM B551","MetalCore Ltd.",Automotive,Nuclear,CUST6940,529.8,1937.29,813.92,1123.3700561523438,595161.4420364983,EU,Jan-19,1,0,"Lean"
2019-01-06,Zirconium,Zr702,"ASTM B551","MetalCore Ltd.",Automotive,Nuclear,CUST2964,2012.95,385.47,813.92,-428.4499816894531,-862448.3697213754,EU,Jan-19,1,0,"Lean"
2019-01-06,Titanium,Ti6Al4V,"ASTM B348",FusionMetals,Aerospace,Aerospace,CUST2113,975.46,441.2,1135.75,-694.5499877929688,-677505.7463536374,"US West",Jan-19,1,0,"Lean"
2019-01-08,Titanium,Ti6Al4V,"ASTM B348",FusionMetals,Aerospace,Aerospace,CUST8046,825.1,1507.84,1135.75,372.0899658203125,307011.42171411216,EU,Jan-19,2,0,"Peak"
2019-01-08,Zirconium,Zr702,"ASTM B551","MetalCore Ltd.",Aerospace,Nuclear,CUST5543,765.64,1370.88,813.92,556.9600219726562,426430.8793817386,"US West",Jan-19,2,0,"Peak"
2019-01-09,Zirconium,Zr702,"ASTM B551","MetalCore Ltd.",Aerospace,Nuclear,CUST8904,799.3,1794.75,813.92,980.8300170898438,783977.4206868894,EU,Jan-19,2,1,"Peak"
2019-01-09,Titanium,Ti6Al4V,"ASTM B348",FusionMetals,Aerospace,Aerospace,CUST7658,852.56,1618.25,1135.75,482.5,411360.1988220215,"India North",Jan-19,2,1,"Peak"
2019-01-10,Zirconium,Zr702,"ASTM B551","MetalCore Ltd.",Automotive,Nuclear,CUST3001,722.76,1437.25,813.92,623.3300170898438,450518.00923906267,"India North",Jan-19,2,0,"Peak"
2019-01-12,Zirconium,Zr702,"ASTM B551","MetalCore Ltd.",Biomedical,Nuclear,CUST6431,436.94,1860.98,813.92,1047.0599975585938,457502.3978895508,EU,Jan-19,2,0,"Peak"
2019-01-12,Titanium,Ti6Al4V,"ASTM B348",FusionMetals,Automotive,Aerospace,CUST8935,614.27,1124.13,1135.75,-11.6199951171875,-7137.814627587795,"US West",Jan-19,2,0,"Peak"
2019-01-13,Aluminum,Mg_6061,"ASTM B221","AlloySphere Inc.",Biomedical,Automotive,CUST6067,1762.16,699.68,958.97,-259.28997802734375,-456910.4365431145,"India North",Jan-19,2,0,"Peak"
