Date,Alloy,Sector,BuyerID,Quantity_kg,UnitPrice_INR,Region
2022-10-06,Titanium,Aerospace,CUST5506,1104.48,834.76,US West
2022-07-01,Titanium,Aerospace,CUST2679,1071.57,512.28,US West
2023-06-24,Aluminum,Biomedical,CUST7912,1004.74,1074.34,India North
2021-01-28,Titanium,Aerospace,CUST4811,996.92,1505.7,India North
2019-10-19,Aluminum,Aerospace,CUST4257,955.93,872.7,US West
2021-04-21,Aluminum,Biomedical,CUST7873,522.93,1680.19,US West
2023-09-03,Zirconium,Biomedical,CUST1106,667.6,1282.19,EU
2022-01-14,Titanium,Biomedical,CUST6574,1151.95,950.21,EU
2022-10-05,Titanium,Aerospace,CUST2674,1012.58,968.3,EU
2021-05-21,Zirconium,Aerospace,CUST6635,924.47,1308.7,EU
2022-07-22,Zirconium,Aerospace,CUST8527,745.61,1192.68,US West
2024-03-27,Titanium,Automotive,CUST5803,552.78,2059.8,India North
2023-07-04,Aluminum,Biomedical,CUST4150,3451.94,395.12,EU
2023-10-06,Titanium,Aerospace,CUST4733,1327.93,755.74,US West
2022-09-18,Zirconium,Aerospace,CUST2654,1084.55,1143.44,India North
2021-07-20,Zirconium,Automotive,CUST6977,2508.79,351.33,US West
2024-02-24,Zirconium,Automotive,CUST5374,528.74,2083.18,India North
2021-04-13,Aluminum,Biomedical,CUST3803,1161.08,837.43,India North
2023-07-28,Aluminum,Aerospace,CUST8573,1204.22,419.97,India North
2020-12-21,Zirconium,Biomedical,CUST4598,1987.47,547.93,US West
2020-06-25,Zirconium,Aerospace,CUST1525,818.1,1681.0,India North
2023-01-21,Zirconium,Automotive,CUST2084,2266.31,388.68,EU
2021-04-24,Aluminum,Biomedical,CUST4483,1178.9,762.72,EU
2023-05-08,Zirconium,Automotive,CUST8517,778.04,1304.5,US West
2021-06-05,Zirconium,Aerospace,CUST9830,855.83,818.96,India North
2023-09-28,Aluminum,Biomedical,CUST7543,1021.09,1055.12,EU
2020-02-17,Titanium,Aerospace,CUST9085,933.45,1111.93,US West
2021-03-25,Titanium,Aerospace,CUST3621,960.72,1934.95,India North
2019-04-15,Aluminum,Automotive,CUST2040,592.42,2096.58,US West
2020-06-24,Zirconium,Biomedical,CUST9669,1746.84,525.85,EU
2022-11-06,Aluminum,Aerospace,CUST2876,955.0,720.87,US West
2023-01-04,Aluminum,Automotive,CUST6573,557.97,1971.64,US West
2023-06-11,Zirconium,Automotive,CUST8433,1742.79,642.83,India North
2023-05-10,Aluminum,Biomedical,CUST9201,504.16,1629.95,EU
2023-07-25,Titanium,Biomedical,CUST5889,952.06,1058.68,India North
2021-04-18,Aluminum,Biomedical,CUST4258,922.03,1163.09,US West
2024-04-09,Zirconium,Aerospace,CUST9689,1415.26,474.4,US West
2019-05-02,Aluminum,Automotive,CUST1319,717.53,1486.9,EU
2024-01-23,Zirconium,Automotive,CUST1949,538.58,1889.5,India North
2020-06-12,Aluminum,Aerospace,CUST8962,1339.68,375.23,India North
2021-10-24,Titanium,Biomedical,CUST3103,1228.17,910.96,India North
2022-01-04,Zirconium,Biomedical,CUST5342,1215.37,897.14,India North
2024-04-24,Aluminum,Automotive,CUST9835,678.92,1266.96,India North
2021-05-30,Aluminum,Biomedical,CUST6107,1137.54,778.0,India North
2021-04-07,Aluminum,Biomedical,CUST8177,1566.41,602.29,EU
2019-02-02,Aluminum,Automotive,CUST5061,597.42,2150.32,India North
2021-12-29,Titanium,Automotive,CUST4770,1151.09,708.38,India North
2023-03-16,Titanium,Aerospace,CUST1964,1166.99,365.64,India North
2019-01-19,Titanium,Aerospace,CUST2160,831.79,1902.53,EU
2020-04-24,Titanium,Automotive,CUST8953,860.29,1355.65,US West
2024-01-02,Aluminum,Aerospace,CUST8744,1013.46,1559.49,US West
2019-02-01,Zirconium,Automotive,CUST2545,1717.28,432.82,India North
